,Xmax,Ymin
6120_2_4,0.00918,-0.00904
6120_2_3,0.009169,-0.00904
6120_2_2,0.009188,-0.00904
6120_2_1,0.0091881,-0.0090396
6120_2_0,0.009188,-0.00904
6180_2_4,0.009169,-0.009031
6180_2_1,0.009169,-0.009042
6180_2_0,0.009156,-0.009042
6180_2_3,0.009188,-0.00904
6180_2_2,0.00918809999947,-0.00903960000054
6180_0_3,0.009188,-0.00904
6180_0_2,0.009169,-0.00904
6180_0_1,0.0091557,-0.0090423
6180_0_0,0.009169,-0.00904
6180_0_4,0.00918,-0.00904
6080_4_4,0.009007,-0.009037
6080_4_2,0.00915030177037,-0.00904229820849
6080_4_3,0.00918,-0.00904
6080_4_0,0.009188,-0.00904
6080_4_1,0.009016,-0.009037
6090_4_1,0.009188,-0.00904
6090_4_0,0.009158,-0.009043
6090_4_3,0.009188,-0.00904
6090_4_2,0.00918785084174,-0.00903985324438
6090_4_4,0.009156,-0.009042
6180_4_4,0.009188,-0.00904
6180_4_3,0.00916890144189,-0.00903990282851
6180_4_2,0.009161,-0.009042
6180_4_1,0.00916840849034,-0.00904040278717
6180_4_0,0.009188,-0.00904
6160_3_2,0.009188,-0.00904
6160_3_3,0.009153,-0.00904227182882
6160_3_0,0.009188,-0.00904
6160_3_1,0.009169,-0.00904
6160_3_4,0.0091881,-0.0090396
6080_2_4,0.009158,-0.009043
6080_2_0,0.009007,-0.009037
6080_2_1,0.00915,-0.009042
6080_2_2,0.009169,-0.009031
6080_2_3,0.00915030177037,-0.00904229820849
6080_0_2,0.009188,-0.00904
6080_0_3,0.009188,-0.00904
6080_0_0,0.009169,-0.00904
6080_0_1,0.00915,-0.009031
6080_0_4,0.00900449999928,-0.00904499999928
6010_0_4,0.009188,-0.00904
6010_0_1,0.009169,-0.009042
6010_0_0,0.009188,-0.00904
6010_0_3,0.009169,-0.009042
6010_0_2,0.00918785084174,-0.00903985324438
6010_2_3,0.009169,-0.00904
6010_2_2,0.00918,-0.00904
6010_2_1,0.009016,-0.009037
6010_2_0,0.00916931787837,-0.00903960155717
6010_2_4,0.009188,-0.00904
6010_4_1,0.00918,-0.00904
6170_3_4,0.009156,-0.009042
6010_4_3,0.00918809999947,-0.00903960000054
6010_4_2,0.009169,-0.009031
6170_3_1,0.00918785084174,-0.00903985324438
6170_3_0,0.009156,-0.009042
6170_3_3,0.009156,-0.009042
6170_3_2,0.0091557,-0.0090423
6170_1_3,0.009169,-0.00904
6170_1_2,0.009188,-0.00904
6170_1_1,0.009016,-0.009037
6170_1_0,0.009169,-0.00904
6170_1_4,0.009158,-0.009043
6130_4_2,0.009169,-0.00904
6130_4_3,0.00917980002586,-0.00903980307558
6130_4_0,0.0090126,-0.009045
6130_4_1,0.009169,-0.009042
6130_4_4,0.00916940139956,-0.00903939570844
6150_3_3,0.00918809999947,-0.00903960000054
6150_3_2,0.009188,-0.00904
6150_3_1,0.009153,-0.00904227182882
6150_3_0,0.00916840849034,-0.00904040278717
6150_3_4,0.00917980002586,-0.00903980307558
6130_2_0,0.00915030000001,-0.00904230000001
6130_2_1,0.009169,-0.00904
6130_2_2,0.00918,-0.00904
6130_2_3,0.009161,-0.009042
6130_2_4,0.00915030000001,-0.00904230000001
6130_0_4,0.0091557,-0.0090423
6130_0_2,0.009188,-0.00904
6130_0_3,0.009169,-0.009031
6130_0_0,0.00918,-0.00904
6130_0_1,0.009161,-0.009042
6150_1_4,0.009158,-0.009043
6150_1_1,0.009161,-0.009042
6150_1_0,0.009156,-0.009042
6150_1_3,0.009013,-0.009045
6150_1_2,0.009188,-0.00904
6180_3_4,0.00915030000001,-0.00904230000001
6180_3_0,0.009156,-0.009042
6180_3_1,0.00915,-0.009042
6180_3_2,0.009156,-0.009042
6180_3_3,0.009156,-0.009042
6180_1_2,0.009156,-0.009042
6180_1_3,0.00916890144189,-0.00903990282851
6180_1_0,0.00900449999928,-0.00904499999928
6180_1_1,0.009169,-0.00904
6180_1_4,0.009169,-0.00904
6010_1_4,0.009188,-0.00904
6010_1_0,0.009007,-0.009037
6010_1_1,0.009188,-0.00904
6010_1_2,0.009169,-0.009042
6010_1_3,0.0091449,-0.0090342
6010_3_2,0.009013,-0.009045
6010_3_3,0.00916940139956,-0.00903939570844
6010_3_0,0.009188,-0.00904
6010_3_1,0.00918,-0.00904
6010_3_4,0.009161,-0.009042
6020_0_4,0.009169,-0.00904
6020_0_0,0.009169,-0.00904
6020_0_1,0.009188,-0.00904
6020_0_2,0.009169,-0.009042
6020_0_3,0.00916890144189,-0.00903990282851
6020_2_2,0.00918785084174,-0.00903985324438
6020_2_3,0.009161,-0.009042
6020_2_0,0.00917980002586,-0.00903980307558
6020_2_1,0.00916940139956,-0.00903939570844
6020_2_4,0.009188,-0.00904
6020_4_0,0.009188,-0.00904
6020_4_1,0.00900449999928,-0.00904499999928
6020_4_2,0.00918785084174,-0.00903985324438
6020_4_3,0.009169,-0.00904
6020_4_4,0.00918809999947,-0.00903960000054
6150_0_4,0.0090126,-0.009045
6150_0_0,0.009156,-0.009042
6150_0_1,0.009169,-0.00904
6150_0_2,0.00917980002586,-0.00903980307558
6150_0_3,0.009188,-0.00904
6100_2_1,0.00916890144189,-0.00903990282851
6100_2_0,0.009188,-0.00904
6150_2_2,0.009169,-0.009042
6150_2_3,0.00918785084174,-0.00903985324438
6150_2_0,0.009013,-0.009045
6150_2_1,0.009169,-0.009031
6100_2_3,0.0091557,-0.0090423
6150_2_4,0.009188,-0.00904
6080_3_1,0.009156,-0.009042
6100_2_2,0.009156,-0.009042
6080_3_0,0.009188,-0.00904
6150_4_0,0.009188,-0.00904
6150_4_1,0.009188,-0.00904
6150_4_2,0.009158,-0.009043
6150_4_3,0.009188,-0.00904
6150_4_4,0.0091449,-0.0090342
6080_3_3,0.0091557,-0.0090423
6080_3_2,0.00918785084174,-0.00903985324438
6070_3_4,0.00900449999928,-0.00904499999928
6070_3_0,0.009188,-0.00904
6070_3_1,0.009188,-0.00904
6070_3_2,0.009188,-0.00904
6070_3_3,0.009188,-0.00904
6070_1_2,0.009169,-0.009042
6070_1_3,0.009169,-0.009042
6070_1_0,0.009169,-0.009042
6070_1_1,0.00918,-0.00904
6070_1_4,0.009188,-0.00904
6110_0_4,0.009007,-0.009037
6160_1_1,0.009161,-0.009042
6160_1_2,0.00918809999947,-0.00903960000054
6110_1_1,0.009156,-0.009042
6110_1_0,0.009013,-0.009045
6110_1_3,0.00918785084174,-0.00903985324438
6110_1_2,0.00916890144189,-0.00903990282851
6110_1_4,0.00915,-0.009042
6110_3_4,0.00918,-0.00904
6110_3_3,0.009156,-0.009042
6110_3_2,0.009169,-0.009042
6110_3_1,0.00916940139956,-0.00903939570844
6110_3_0,0.00915030177037,-0.00904229820849
6140_3_3,0.009169,-0.009042
6020_1_4,0.009188,-0.00904
6020_1_1,0.00918785084174,-0.00903985324438
6020_1_0,0.009161,-0.009042
6020_1_3,0.009169,-0.00904
6020_1_2,0.009188,-0.00904
6030_1_4,0.00918,-0.00904
6020_3_3,0.009188,-0.00904
6020_3_2,0.009161,-0.009042
6020_3_1,0.0091881,-0.0090396
6020_3_0,0.009161,-0.009042
6020_3_4,0.009158,-0.009043
6050_2_4,0.009156,-0.009042
6050_2_3,0.0091557,-0.0090423
6050_2_2,0.009153,-0.00904227182882
6050_2_1,0.009013,-0.009045
6050_2_0,0.009188,-0.00904
6100_3_4,0.00918785084174,-0.00903985324438
6100_3_0,0.009169,-0.00904
6100_3_1,0.00918785084174,-0.00903985324438
6100_3_2,0.00915030177037,-0.00904229820849
6100_3_3,0.009188,-0.00904
6060_1_1,0.009161,-0.009042
6060_1_0,0.009156,-0.009042
6060_1_3,0.009158,-0.009043
6060_1_2,0.009169,-0.00904
6060_1_4,0.00918,-0.00904
6060_3_4,0.009156,-0.009042
6060_3_3,0.00916931787837,-0.00903960155717
6060_3_2,0.009156,-0.009042
6060_3_1,0.00916940139956,-0.00903939570844
6060_3_0,0.009188,-0.00904
6070_2_4,0.00916890144189,-0.00903990282851
6070_2_1,0.009169,-0.00904
6070_2_0,0.00915,-0.009031
6070_2_3,0.0090126,-0.009045
6070_2_2,0.00918785084174,-0.00903985324438
6040_2_0,0.009169,-0.00904
6040_2_1,0.00915030177037,-0.00904229820849
6040_2_2,0.009158,-0.009043
6040_2_3,0.0090126,-0.009045
6040_2_4,0.009156,-0.009042
6070_0_3,0.009161,-0.009042
6070_0_2,0.009188,-0.00904
6070_0_1,0.00915030177037,-0.00904229820849
6070_0_0,0.009016,-0.009037
6070_0_4,0.009188,-0.00904
6140_3_4,0.009188,-0.00904
6040_0_4,0.009188,-0.00904
6040_1_4,0.009171,-0.009042
6040_0_2,0.009156,-0.009042
6040_0_3,0.009013,-0.009045
6040_0_0,0.009188,-0.00904
6040_0_1,0.00918809999947,-0.00903960000054
6050_0_1,0.009156,-0.009042
6050_0_0,0.009188,-0.00904
6050_0_3,0.009188,-0.00904
6050_0_2,0.009156,-0.009042
6050_0_4,0.00915030000001,-0.00904230000001
6070_4_4,0.009158,-0.009043
6070_4_3,0.00915,-0.009031
6070_4_2,0.009188,-0.00904
6070_4_1,0.00915,-0.009042
6070_4_0,0.009153,-0.00904227182882
6140_3_0,0.00916890144189,-0.00903990282851
6140_3_1,0.00916840849034,-0.00904040278717
6140_3_2,0.009161,-0.009042
6100_4_4,0.009161,-0.009042
6100_4_3,0.0091449,-0.0090342
6100_4_2,0.0090126,-0.009045
6100_4_1,0.009013,-0.009045
6100_4_0,0.00916890144189,-0.00903990282851
6040_1_0,0.009156,-0.009042
6140_1_4,0.00918809999947,-0.00903960000054
6140_1_2,0.009169,-0.00904
6140_1_3,0.0091449,-0.0090342
6140_1_0,0.009169,-0.009042
6140_1_1,0.009188,-0.00904
6040_4_2,0.009156,-0.009042
6040_4_3,0.009153,-0.00904227182882
6040_4_0,0.009016,-0.009037
6040_4_1,0.00915030177037,-0.00904229820849
6040_4_4,0.0091449,-0.0090342
6010_4_0,0.009169,-0.009042
6110_0_0,0.009188,-0.00904
6050_4_4,0.009005,-0.009034
6110_0_2,0.009158,-0.009043
6110_0_3,0.00918785084174,-0.00903985324438
6050_4_1,0.00916840849034,-0.00904040278717
6050_4_0,0.009169,-0.009042
6050_4_3,0.00915,-0.009031
6050_4_2,0.00915,-0.009042
6030_3_0,0.009188,-0.00904
6030_3_1,0.009013,-0.009045
6030_3_2,0.009161,-0.009042
6030_3_3,0.009169,-0.009031
6030_3_4,0.009169,-0.009031
6010_4_4,0.009171,-0.009042
6110_2_4,0.00915030000001,-0.00904230000001
6110_2_2,0.009188,-0.00904
6110_2_3,0.00916890144189,-0.00903990282851
6110_2_0,0.00915030177037,-0.00904229820849
6110_2_1,0.00918,-0.00904
6090_1_0,0.009188,-0.00904
6090_1_1,0.009007,-0.009037
6090_1_2,0.00916940139956,-0.00903939570844
6090_1_3,0.0091449,-0.0090342
6110_4_4,0.00916931787837,-0.00903960155717
6110_4_0,0.009169,-0.00904
6110_4_1,0.00916890144189,-0.00903990282851
6110_4_2,0.009007,-0.009037
6110_4_3,0.009169,-0.009042
6060_4_4,0.0090126,-0.009045
6060_4_0,0.009188,-0.00904
6060_4_1,0.009188,-0.00904
6060_4_2,0.00916840849034,-0.00904040278717
6060_4_3,0.00918809999947,-0.00903960000054
6100_2_4,0.00915030177037,-0.00904229820849
6050_3_4,0.00915,-0.009031
6050_3_2,0.00918,-0.00904
6050_3_3,0.009013,-0.009045
6050_3_0,0.009188,-0.00904
6050_3_1,0.009169,-0.00904
6100_0_3,0.0090126,-0.009045
6100_0_2,0.009156,-0.009042
6100_0_1,0.009013,-0.009045
6100_0_0,0.009188,-0.00904
6100_0_4,0.009188,-0.00904
6060_0_0,0.009188,-0.00904
6060_0_1,0.009188,-0.00904
6060_0_2,0.00916940139956,-0.00903939570844
6060_0_3,0.0091881,-0.0090396
6060_0_4,0.009169,-0.009031
6160_1_0,0.009156,-0.009042
6060_2_4,0.009156,-0.009042
6060_2_2,0.00916890144189,-0.00903990282851
6060_2_3,0.009188,-0.00904
6060_2_0,0.009188,-0.00904
6060_2_1,0.009161,-0.009042
6040_3_1,0.009161,-0.009042
6040_3_0,0.00915030000001,-0.00904230000001
6040_3_3,0.009169,-0.009042
6040_3_2,0.00915,-0.009042
6040_3_4,0.009188,-0.00904
6090_0_4,0.00915030177037,-0.00904229820849
6160_1_3,0.00915030000001,-0.00904230000001
6090_0_1,0.009161,-0.009042
6090_0_0,0.009016,-0.009037
6090_0_3,0.009161,-0.009042
6090_0_2,0.009188,-0.00904
6090_2_3,0.0091557,-0.0090423
6090_2_2,0.00915030177037,-0.00904229820849
6090_2_1,0.00915030177037,-0.00904229820849
6090_2_0,0.009161,-0.009042
6040_1_3,0.009156,-0.009042
6040_1_2,0.009007,-0.009037
6040_1_1,0.009005,-0.009034
6090_2_4,0.00915,-0.009031
6030_0_4,0.009016,-0.009037
6030_0_3,0.009169,-0.00904
6030_0_2,0.009158,-0.009043
6030_0_1,0.009188,-0.00904
6030_0_0,0.009169,-0.009031
6050_1_0,0.009188,-0.00904
6050_1_1,0.009169,-0.00904
6050_1_2,0.00916931787837,-0.00903960155717
6050_1_3,0.009188,-0.00904
6050_1_4,0.00916940139956,-0.00903939570844
6120_1_0,0.009169,-0.00904
6120_1_1,0.009188,-0.00904
6120_1_2,0.0091449,-0.0090342
6120_1_3,0.009156,-0.009042
6120_1_4,0.00918785084174,-0.00903985324438
6030_1_3,0.009169,-0.009042
6030_1_1,0.009161,-0.009042
6160_1_4,0.00915030177037,-0.00904229820849
6140_0_4,0.009005,-0.009034
6140_0_3,0.00916931787837,-0.00903960155717
6140_0_2,0.009156,-0.009042
6140_0_1,0.009169,-0.00904
6140_0_0,0.009188,-0.00904
6120_3_4,0.009158,-0.009043
6120_3_2,0.009156,-0.009042
6120_3_3,0.00918785084174,-0.00903985324438
6120_3_0,0.009161,-0.009042
6120_3_1,0.009188,-0.00904
6100_1_2,0.009188,-0.00904
6100_1_3,0.009156,-0.009042
6100_1_0,0.00918785084174,-0.00903985324438
6100_1_1,0.00915030000001,-0.00904230000001
6100_1_4,0.00916890144189,-0.00903990282851
6140_4_3,0.009169,-0.00904
6140_4_2,0.00915030000001,-0.00904230000001
6140_4_1,0.00918785084174,-0.00903985324438
6140_4_0,0.009007,-0.009037
6140_4_4,0.009188,-0.00904
6160_0_4,0.00918,-0.00904
6140_2_1,0.009188,-0.00904
6140_2_0,0.00916890144189,-0.00903990282851
6140_2_3,0.00916890144189,-0.00903990282851
6140_2_2,0.009169,-0.00904
6140_2_4,0.009169,-0.00904
6030_4_3,0.009161,-0.009042
6030_4_2,0.009188,-0.00904
6030_4_1,0.009161,-0.009042
6030_4_0,0.009016,-0.009037
6030_4_4,0.009161,-0.009042
6160_0_0,0.009161,-0.009042
6030_2_1,0.009156,-0.009042
6030_2_0,0.00916840849034,-0.00904040278717
6030_2_3,0.00900449999928,-0.00904499999928
6030_2_2,0.00915030177037,-0.00904229820849
6030_2_4,0.00918785084174,-0.00903985324438
6090_3_2,0.009161,-0.009042
6090_3_3,0.009188,-0.00904
6090_3_0,0.009169,-0.00904
6090_3_1,0.009161,-0.009042
6090_3_4,0.009153,-0.00904227182882
6080_3_4,0.009005,-0.009034
6170_4_4,0.00915,-0.009031
6170_4_2,0.009169,-0.00904
6170_4_3,0.009188,-0.00904
6170_4_0,0.009016,-0.009037
6170_4_1,0.00916931787837,-0.00903960155717
6160_4_1,0.00915030177037,-0.00904229820849
6160_4_0,0.00916840849034,-0.00904040278717
6160_4_3,0.009169,-0.009031
6160_4_2,0.0091557,-0.0090423
6160_4_4,0.009007,-0.009037
6080_1_3,0.009188,-0.00904
6080_1_2,0.00918,-0.00904
6080_1_1,0.009169,-0.00904
6080_1_0,0.00915,-0.009031
6080_1_4,0.009169,-0.009031
6170_2_4,0.00915030000001,-0.00904230000001
6170_2_0,0.009005,-0.009034
6170_2_1,0.009156,-0.009042
6170_2_2,0.009188,-0.00904
6170_2_3,0.0091881,-0.0090396
6170_0_2,0.009169,-0.009042
6170_0_3,0.00918785084174,-0.00903985324438
6170_0_0,0.009161,-0.009042
6170_0_1,0.00918785084174,-0.00903985324438
6170_0_4,0.00915,-0.009042
6090_1_4,0.009156,-0.009042
6120_4_4,0.009188,-0.00904
6120_4_1,0.009161,-0.009042
6120_4_0,0.0090126,-0.009045
6120_4_3,0.00916931787837,-0.00903960155717
6120_4_2,0.009016,-0.009037
6120_0_1,0.00916890144189,-0.00903990282851
6120_0_0,0.009188,-0.00904
6120_0_3,0.009169,-0.009042
6120_0_2,0.00918809999947,-0.00903960000054
6030_1_2,0.009188,-0.00904
6120_0_4,0.009188,-0.00904
6030_1_0,0.00918809999947,-0.00903960000054
6110_0_1,0.00915,-0.009042
6130_3_1,0.009188,-0.00904
6130_3_0,0.00915,-0.009042
6130_3_3,0.009169,-0.009031
6130_3_2,0.009188,-0.00904
6160_0_1,0.009188,-0.00904
6130_3_4,0.009188,-0.00904
6160_0_3,0.00916931787837,-0.00903960155717
6160_0_2,0.009188,-0.00904
6160_2_3,0.009171,-0.009042
6160_2_2,0.00900449999928,-0.00904499999928
6160_2_1,0.009161,-0.009042
6160_2_0,0.0090126,-0.009045
6160_2_4,0.00917980002586,-0.00903980307558
6130_1_4,0.009169,-0.00904
6130_1_3,0.009188,-0.00904
6130_1_2,0.00915030000001,-0.00904230000001
6130_1_1,0.00900449999928,-0.00904499999928
6130_1_0,0.009188,-0.00904
